,content,score,clean_content,sentiment
0,"Canva sangat membantu dalam membuat desain dengan cepat dan mudah! Banyak pilihan template dan elemen yang menarik, cocok untuk segala kebutuhan. Sangat intuitif, bahkan untuk pemula. Aplikasi wajib bagi siapa saja yang ingin membuat konten visual",5,canva membantu desain cepat mudah pilihan template elemen menarik cocok kebutuhan intuitif pemula aplikasi wajib konten visual,2
1,"So far so good but, too slow and suka lambat merespon dan suka ngebug. entah ini PC gw yg kentang atau Aplikasinya lagi down. The point : Silakan tingkatkan kenyamanan user, lebih lengkap dan banyakin elemen yang free! Buka lowongan kerja design graphic lebih banyak (jangan pelit) atau kompetisi kreativitas bersama Pinterest agar Canva makin dikenal dan punya citra nama yang baik. Karena membantu generasi mengasah skills bisa membuat mereka percaya diri dan menemukan talentanya.",3,so far so good but too slow and suka lambat merespon suka ngebug pc yg kentang aplikasinya down the point silakan tingkatkan kenyamanan user lengkap banyakin elemen free buka lowongan kerja design graphic pelit kompetisi kreativitas pinterest canva dikenal citra nama membantu generasi mengasah skill percaya menemukan talentanya,1
2,"Canva tolong perbaiki bugnya! Setelah membuat akun baru, layarnya menjadi sedikit gelap dan tidak bisa menekan apapun. Ketika saya ingin membeli pro di akun yang sudah saya miliki juga terjadi hal yang sama. Barnya tidak muncul, mohon untuk segera peebaiki!!!!",1,canva tolong perbaiki bugnya akun layarnya gelap menekan apapun membeli pro akun miliki barnya muncul mohon peebaiki,0
3,"Aplikasi Canva ini sungguh bagus,bisa menambah kreatif anak² terutama anak SD kelas 5-6,karna membuat poster² tentang pembelajaran,pokonya bagus banget deh,walaupun lambat sekali loading nya,kalau bisa developer nya perbaiki lemot/loading nya yang kelamaan,malas jadinya🥲",4,aplikasi canva sungguh bagusbisa menambah kreatif anak anak sd kelas karna poster pembelajaranpokonya bagus banget dehwalaupun lambat loading nyakalau developer nya perbaiki lemotloading nya kelamaanmalas,2
4,"Canva sangat memudahkan dalam membuat desain, baik untuk keperluan pribadi maupun pekerjaan. Tersedia banyak template yang bisa disesuaikan dengan kebutuhan, dari presentasi hingga postingan media sosial. Antarmukanya sederhana dan mudah digunakan, bahkan untuk pemula. Saya suka fleksibilitas dalam mengedit dan menyimpan hasil. Namun, saya berharap beberapa fitur premium bisa lebih terjangkau. Secara keseluruhan, aplikasi ini sangat membantu dan kreatif.",5,canva memudahkan desain keperluan pribadi pekerjaan tersedia template disesuaikan kebutuhan presentasi postingan medium sosial antarmukanya sederhana mudah pemula suka fleksibilitas mengedit menyimpan hasil berharap fitur premium terjangkau aplikasi membantu kreatif,2
5,sangat pengalaman yang buruk kecewa!! tidak bisa menempel hasil ketikan salin kita sangatgg kecewa dan membingungkan dan juga berbayar harus berbayar dan menyulitkan bagi kita yang menggunakan gratis sangat tidak cocok!!,2,pengalaman buruk kecewa menempel hasil ketikan salin sangatgg kecewa membingungkan berbayar berbayar menyulitkan gratis cocok,0
6,"Aplikasi yang sangat membantu saat ingin mendesain tapi sekarang harus bayar dan,kenapa ya kan aku udah pakai wifi tapi malah ngelag banget kayak ngga pakai wifi kan aneh padahal udah deket sama wifi jadi mohon dibenarkan lagi untuk masalah jaringan canva nya lagian juga udah banyak yang ngeluh",3,aplikasi membantu mendesain bayar dankenapa ya pakai wifi ngelag banget kayak ngga pakai wifi aneh deket wifi mohon dibenarkan jaringan canva nya ngeluh,1
7,"Bagus banget untuk buat desain, aku malah lebih suka buat sendiri daripada pake template soalnya objek yang kita inginkan ada dan lengkap apalagi bisa pakai Account belajar id, jadi bisa akses semua canva pro. Ada saran satu aja, tolong masalah koneksi dibetulkan, padahal udah pake jaringan yang kenceng tapi tetep ada notifikasi koneksi Internet buruk, semangat developer👍😁",5,bagus banget desain suka pake template objek lengkap pakai account belajar id akses canva pro saran tolong koneksi dibetulkan pake jaringan kenceng tetep notifikasi koneksi internet buruk semangat developer,2
8,"Sejak pembaruan tampilan makin lelet. Belum lagi kalau mau nyari ukuran jadi lebih ribet dari tampilan lama. Emang keren sih tampilan yg sekarang, tapi kurang praktis. Jauh lebih oraktis tampilan lama. Please bgt perbaiki keleletan dan kadang ngebug lama banget meski jaringan internet bagus.",2,pembaruan tampilan lelet mencari ukuran ribet tampilan emang keren sih tampilan yg praktis oraktis tampilan please banget perbaiki keleletan kadang ngebug banget jaringan internet bagus,0
9,"Aplikasi ini cocok untuk remaja untuk menyunting video dan foto untuk tugas sekolah, tapi kurang responsif dan sering error dan lamban saat dibuka, terkadang seperti itu dan itu membuang-buang waktu saya.",3,aplikasi cocok remaja menyunting video foto tugas sekolah responsif error lamban dibuka terkadang membuangbuang,1
