,content,score,clean_content,sentiment
0,"Setelah pembaruan, terlalu banyak bug, sering force close, mendeteksi subjek lebih dari 15 menit, itu pun hanya satu foto. sinkronisasi foto harus lewat jaringan, kalo tidak foto harus disinkronisasi ulang, dan editan pun terulang. Sumpah ngeselin, segera perbaiki Weh dah berlangganan juga!",1,pembaruan bug force close mendeteksi subjek menit foto sinkronisasi foto jaringan foto disinkronisasi ulang editan terulang sumpah ngeselin perbaiki weh dah berlangganan,0
1,"Makin parah! Ngebug terus, nempelin tone warna aja berjam-jam skrg gak jelas, import foto parah lamanya bukan main padahal cuma beberapa foto & jaringan kenceng.. Tolong diperhatikan kok makin kesini makin menurun kualitasnya..",1,parah ngebug nempelin tone warna berjamjam import foto parah main foto jaringan kenceng tolong diperhatikan kesini menurun kualitasnya,0
2,"Kebanyakan fitur ga guna !!!!!! sepertu preset ai dan pilihan, hp Ram 8GB masih aja berat pake LR ini Tolong perbaiki, hilangkan fitur2 yang ga bermanfaat !",2,kebanyakan fitur sepertu preset ai pilihan hp ram gb berat pake lr tolong perbaiki hilangkan fitur bermanfaat,0
3,"asik apk nya. gampang pakainya. cocok buat yg lagi belajaran/buat yg udh pro. apalagi kalau langganan premium, lebih puas edit""nya.",5,asik aplikasi nya gampang pakainya cocok yg belajaranbuat yg pro langganan premium puas mengeditnya,2
4,Abis di update malah banyak yang ngebug .. loading lama bener . . blur lensa gagal mulu .e ekspor foto lama,3,abis update ngebug loading bener blur lensa gagal mulu ekspor foto,1
5,"Kecewa buanget dengan pemakaian LR dalam waktu lama, gak tahu waktu editing keluar tiba-tiba aplikasinya keluar sendiri dan foto yang masih diedit kembali semula gak bisa tersimpan!!!!! Kalau ada bug ya benerin, sama aja beli paket bulanan atau tahunan kalau performa aplikasi yang berbayar sama dengan Lightroom bajakan yang ada di google?!!!!",1,kecewa buanget pemakaian lr editing tibatiba aplikasinya foto diedit tersimpan bug ya benerin beli paket bulanan tahunan performa aplikasi berbayar lightroom bajakan google,0
6,"Aplikasinya bagus banget, bisa memperbaiki pewarnaan gambar secara signifikan terutama kalau udah punya preset gambar(banyak di YouTube) tinggal klik dan kita pilih mau gaya warna yang kita mau. semangat yaa team Adobe!",5,aplikasinya bagus banget memperbaiki pewarnaan gambar signifikan preset gambarbanyak youtube tinggal klik pilih gaya warna semangat yaa team adobe,2
7,"Sebelum di update enak2 aja dipake wlupun kdng bug,tpi stelah di update lbih parah. Mau edit aja loadingnya luamaaa bgt,trus yg udh diedit gkda tanda lr nya. Jadi hrus dibuka dlu satu2 untuk ngecek udh diedit atau blom. Y wlaupun ada menu editan saya, tpi lbih suka sblom di update.",3,update enak dipake wlupun kdng bugtpi stelah update lbih parah mengedit loadingnya luama bangettrus yg diedit gkda tanda lr nya hrus dibuka dlu ngecek diedit blom wlaupun menu editan tpi lbih suka sblom update,1
8,Aplikasinya bagus buat editan. Karena saya membutuhkan editing ini. Tapi sayangnya ketiam buat watermark sendiri kenapa hasil watermark tidak ada. Baik teks maupun gambar,4,aplikasinya bagus editan membutuhkan editing sayangnya ketiam watermark hasil watermark teks gambar,2
9,"aplikasinya kualitas mulai menurun, pas ngedit foto loding terus warna berubah otimatis jadi lebih jelek, warna di lightrum berbeda digaleri, Ga kaya biasanya warna segaleri ttp sama pas d buka melalui lighrum, jadi ngedit ny jd agak susah. tolong kembaliin kualitasss dulu lagii",2,aplikasinya kualitas menurun pa ngedit foto loding warna berubah otimatis jelek warna lightrum berbeda digaleri ga kaya warna segaleri ttp pa buka lighrum ngedit ny jd susah tolong kembaliin kualitas lagii,0
10,semua foto bisa diedit dengan bagus tapi tergoda sekali dengan lightroom premiun,4,foto diedit bagus tergoda lightroom premiun,2
11,apaan sih aku udah topup dan bayar langganan masih aja belum bisa dipakek fitur premium nya,1,sih topup bayar langganan dipakek fitur premium nya,0
12,Baru upgrade versi terbaru kok sekarang mau di save foto ga bisa ya. Apa masih ada kendala?,3,upgrade versi terbaru save foto ya kendala,1
13,sangat buas walaupun agak susah banget untuk ngedit bagi pemula,5,buas susah banget ngedit pemula,2
14,"tolong kepada pihak developer, kenapa di device saya gagal menyimpan terus ya? sudah 3 bulan masalah ini terjadi di hp samsung a33 saya",1,tolong developer device gagal menyimpan ya hp samsung,0
15,"bagus bngt, kalau bisa fitur yg masih berbayar segera di buka secara gratis agar anak² muda dapat mengasa skiil editingnya",4,bagus banget fitur yg berbayar buka gratis anak muda mengasa skiil editingnya,2
16,"bagus banget apk nya, apalagi kalo di tambah preset behh😁",5,bagus banget aplikasi nya preset behh,2
17,"mantab, sangat memudahkan edite photo.",5,mantab memudahkan edite foto,2
18,Sangat bagus .... lebih di tingkatkan lagi aplikasi nya sesuai perkembangan...,5,bagus tingkatkan aplikasi nya sesuai perkembangan,2
19,Aplikasi nya bagus. Edit foto tinggal sesuaikan dengan selera. Kalau untuk fitur menghapus objek yang tidak dibutuhkan dalam foto harus Berbayar. Tapi cukup terjangkau,5,aplikasi nya bagus edit foto tinggal sesuaikan selera fitur menghapus objek dibutuhkan foto berbayar terjangkau,2
20,"1. Efek terlihat noise hasil jadinya jika pakai fitur tajam, berbeda ketika ditampilkan di aplikasi. 2. Export bersr dan lama padahal RamAM 8+8",4,efek noise hasil pakai fitur tajam berbeda ditampilkan aplikasi export bersr ramam,2
21,"Fitur kerennya premium, kalo gratisan nya cuma bisa otak atik warna, walaupun begitu otak atik warnanya lengkap bisa color grading",5,fitur kerennya premium gratisan nya otak atik warna otak atik warnanya lengkap color grading,2
22,"Mungkin bagi orang yang baru nyoba nyoba ngedit disini agak bingung gimana cara pakai nya. Begitu juga aku. Tapi kalau kita sering nonton tutorial, sebenernya aplikasi ini ngga se rumit itu kok... Malah bagus pol!",5,orang nyoba nyoba ngedit bingung gimana pakai nya nonton tutorial sebenernya aplikasi ngga rumit bagus pol,2
23,"Knapa ini stelah update malaj tdk bisa di buka? Login gagal, daftar gagal, bagaimama ini, apa yg harus aku lakukan?",2,knapa stelah update malaj buka login gagal daftar gagal bagaimama yg lakukan,0
