Unnamed: 0,content,score,clean_content,sentiment
0,"Cukup seru, tapi setelah bermain 2 bulan, saya sadar bahwa game ini butuh revamp besar untuk semua aspeknya, terlalu mementingkan ""visual efek"" yang berakibat pada mekanik skill yang tidak masuk akal, role lane dan role hero yang tidak jelas (ini paling parah), sistem emblem yang tidak banyak membantu, equipment/gears yang tidak cocok di banyak roles/hero, map system yang menyulitkan, mekanik creeps/jungle monster yang tidak jelas fungsinya, sistem monster lord yang kurang baik.",2,seru bermain sadar game butuh revamp aspeknya mementingkan visual efek berakibat mekanik kemampuan masuk akal role lane role hero parah sistem emblem membantu equipmentgears cocok roleshero map system menyulitkan mekanik creepsjungle monster fungsinya sistem monster lord,0
1,"Suka suka deh. Makin update makin gede mb nya bukannya makin bagus malah makin menjadi-jadi. Wifi oke, tapi ngelag parah. Akhirnya w ganti pake data, sama aja.. pdhl koneksi bagus kok, dibuka game sebelah juga lancar jaya. Pas buka ini game kok ngelag banget bjir. Hape gua yang rusak atau gimana?👺👺",4,suka suka deh update gede mb nya bagus menjadijadi wifi oke ngelag parah ganti pake data koneksi bagus dibuka game sebelah lancar jaya pa buka game ngelag banget bjir hape gua rusak gimana,1
2,"Matchmaking lo Tencent diperbaiki dulu, itu tim musuh dikasih yang bisa main sedangkan team sendiri dikasih yang tukang troll, tidak main, tidak bisa baca map. Jika game lo Tencent mau bertahan dan besar diperbaiki dlu matchmaking. Mohon dibaca!!",1,matchmaking lo tencent diperbaiki tim musuh dikasih main team dikasih tukang troll main baca map game lo tencent bertahan diperbaiki dlu matchmaking mohon dibaca,0
3,"Tambah lama tambah error' gamenya sering blank dan keluar sendiri terus kalau mau game lagi ujung-ujungnya game sudah selesai loadingnya lama banget, padahal banyak yang mengeluhkan masalah ini tapi kok tetap gak ada perbaikan masih seperti ini nanti jawabanya kosongkan memori gunakan jaringan lain padahal memori ku aman apalagi jaringannya gak ada kendala sama sekali hp juga gak panas. Payah kalau seperti ini, datanya banyak banget melebihi moba yang lain.",1,error gamenya blank game ujungujungnya game selesai loadingnya banget mengeluhkan perbaikan jawabanya kosongkan memori jaringan memori ku aman jaringannya kendala hp panas payah datanya banget melebihi moba,0
4,"Sayang sekali game ini masih ada kekurangannya: 1. Untuk masalah device ini berat untuk yg hp saya ram 4 memo 64gb 2. Untuk masalah Hero dan skillnya masih agak kaku, saya make gao dan pencet ultinya itu lama banget padahal saya dh pencet ulti 3. Knpa ya akhir2 ini untuk event bagi2 skin epic makin dikit ya, pas baru rilis ke global aja banyak banget bagi2 skinnya, apakah developer udh males bagi2 skin epic lagi ya",1,sayang game kekurangannya device berat yg hp ram memo gb hero skillnya kaku make gao pencet ultinya banget dh pencet kemampuan khusus knpa ya event skin epic dikit ya pa rilis global banget skinnya developer male skin epic ya,0
5,"Dear Developer, dalam sistem matchnya parah banget ketidak seimbangan dalam penentuan team dan lawan segera tingkatkan sistem matchnya kebanyakan tier yang berbeda dan belum terlalu paham dalam gameplay dan kemudian dalam gameplay juga sering terjadi drop fps tanpa diketahui alasannya",3,dear developer sistem matchnya parah banget ketidak seimbangan penentuan team lawan tingkatkan sistem matchnya kebanyakan tier berbeda paham gameplay gameplay drop fps alasannya,0
6,"Beberapa fitur sudah sangat bagus,skin² juga bagus dinilai dari harga dan kualitas,secara gameplay pun cukup oke,tetapi dalam matchmaking saya kurang meng apresiasi karena saya dalam match akan kalah 3 kali,lalu baru dikasih menang dan hal itu terjadi selama berturut-turut,jadi saya suka bosan dalam memainkan mode rank semoga developer dapat mengoptimalkan sistem matchmaking lebih baik.",3,fitur bagusskin bagus dinilai harga kualitassecara gameplay oketetapi matchmaking meng apresiasi match kalah kalilalu dikasih menang berturutturutjadi suka bosan memainkan mode peringkat semoga developer mengoptimalkan sistem matchmaking,0
7,"Masih ada banyak bot yang melakukan feed, walaupun scorenya 4.1 tetap tidak bisa direport. Sedangkan jika kita yang mendapat death banyak, mudah sekali kena pelanggaran feed. Belum lagi sistem blacklist hanya dibatasi 3 setiap Minggu. Jadi jika tidak setim dengan bot malah setim dengan player yang skillnya lebih rendah dari bot. Tambahan: jika ada player yang memakai Hero tidak sesuai role, tidak pernah bisa di report dengan alasan tidak mencuri Lane. Padahal itu membuat tim menjadi unbalanced",1,bot beban scorenya direport death mudah kena pelanggaran beban sistem blacklist dibatasi minggu setim bot setim player skillnya rendah bot tambahan player memakai hero sesuai role report alasan mencuri lane tim unbalanced,0
8,"Match making lama dan tidak seimbang. hasil nilai akhir tidak sesuai. Misal, harusnya MVP jadi yang kedua urutan nilainya. tidak adanya fitur chatt / message seperti Moba sebelah",1,match making seimbang hasil nilai sesuai mvp urutan nilainya fitur chatt message moba sebelah,0
9,"bukan masalah game nya sih, tpi ke masalah pembayaran dan pembelian dalam aplikasi yg ga jelas dan kadang suka error sehingga kadang ga sesuai yg dibeli dengan yg di dape, masa iya gua top up 235.000 buat beli token 1200 malah dapet cuma 400 an token",1,game nya sih tpi pembayaran pembelian aplikasi yg kadang suka error kadang sesuai yg dibeli yg dape iya gua top up beli token dapet an token,0
10,"Game banyak bug, jangan cuman kasih skin aja dong, tolong di optimalisasi lagi game nya, masa dah download data game malah nge bug, jadi nya bentuk Hero gak ke render malah kayak bola lagi jalan. 😡",2,game bug cuman kasih skin tolong optimalisasi game nya dah download data game nge bug nya bentuk hero render kayak bola jalan,0
11,"Matching ga seimbang, disaat dalam loby rank yang jaraknya tidak sesuau dengan tier yang kompetibel tidak dapat dimulai.. Namun saat bermain random bertemu rekan satu tim yang bintangnya dibawah.. Terkadang bertemu musuh yang tidak sesuai dengan tier",2,matching seimbang disaat loby peringkat jaraknya sesuau tier kompetibel bermain random bertemu rekan tim bintangnya dibawah terkadang bertemu musuh sesuai tier,0
12,"Tombol samping untuk sinyal serang, retreat, dan backup sering kali tidak responsif. Dengan device yang sama, digunakan untuk main moba yg satunya selalu aman-aman saja. Selain itu sering terjadi bug, stuck dilayar, stuck di loading screen, bahkan setelah download semua file, masih menjadi bola-bola didalam game. Semua bug ini cukup mengganggu, 2 star only.",2,tombol samping sinyal serang retreat backup kali responsif device main moba yg satunya amanaman bug stuck dilayar stuck loading screen download file bolabola didalam game bug mengganggu star only,0
