,content,score,clean_content,sentiment
0,"Well, bagus si bagus. Cuman, beberapa hari ini tiktok kyanya lgi ad bug ya?? beberapa hari ak gak gunain TT eh tiba tiba apk nya hilang sendiri, hampir ak kira ad virus nih dihpku/hpku ini enggak bisa nampung apk berat, pdhl memo nya masih luas. jdi ya aku harus install ulang tiktok beberapa kali.. tolong diperbaiki ya bug ini.",3,well bagus si bagus cuman tiktok kyanya lgi ad bug ya ak gunain tt eh aplikasi nya hilang ak ad virus dihpkuhpku nampung aplikasi berat memo nya luas jdi ya install ulang tiktok kali tolong diperbaiki ya bug,1
1,"Tolong pihak developer tiktok, perbaiki apk ini, ini bug yg paling parah dari beberapa aplikasi yg saya temui, bug ini membuat beberapa pengguna android menjadi harus bolak balik menginstal ulang apk ini agar dapat digunakan kembali. Kalau tdk di uninstal maka android akan lag parah sampai hang setelah mencoba membuka apk tiktok yg hanya stuck di logo tiktok saja. Sy mohon untuk update kedepannya lebih memperhatikan kompatibilitas nya terhadap versi android atau spesifikasi nya. Terimakasih 🙏",1,tolong developer tiktok perbaiki aplikasi bug yg parah aplikasi yg temui bug pengguna android bolak menginstal ulang aplikasi uninstal android lag parah hang mencoba membuka aplikasi tiktok yg stuck logo tiktok sy mohon update kedepannya memperhatikan kompatibilitas nya versi android spesifikasi nya terimakasih,0
2,"tolong kembalikan mode simpan foto dan video tiktok yang lama, mode simpan foto yang sekarang harus di up dan setelah itu kualitas foto saat disimpan di galeri kualitasnya tidak bagus. tolong diperbaiki dan ubah ke tiktok lama sebelum updatean tiktok yang baru ini, terimakasih.",2,tolong kembalikan mode simpan foto video tiktok mode simpan foto up kualitas foto disimpan galeri kualitasnya bagus tolong diperbaiki ubah tiktok updatean tiktok terimakasih,0
3,"sering saat sy lagi asyik nonton tiba² aplikasinya keluar dan saat sy mau masuk lagi kadang aplikasinya tidak bisa di buka/dipencet,hal seperti itu yg buat sy berpikir kalau tiktok pilih kasih kepada hp android,jadi mohon ya developer tiktok diperbaiki lagi bug nya",1,asyik nonton aplikasinya masuk kadang aplikasinya bukadipencethal yg berpikir tiktok pilih kasih hp androidjadi mohon ya developer tiktok diperbaiki bug nya,0
4,"kan sekarang udah ada fitur ""unlike"" buat ngurangin video yang serupa, nah.. tolong adain fitur ""like"" juga dong, jadi kalo kita pencet like nya bukan nambah ke postingan yang disukai melainkan memperbanyak video yang di like barusan atau video yang serupa ke beranda.",5,fitur unlike ngurangin video tolong adain fitur menyukai pencet menyukai nya nambah postingan disukai memperbanyak video menyukai barusan video beranda,2
5,"Tolong algoritma TikToknya dibenerin! Apa yang saya like, yang saya suka, ngga muncul di beranda, malah video yang ngga berguna, yang saya tidak suka. Tolong tambahkan fitur ""TERTARIK"" di samping ""TIDAK TERTARIK"". Dan satu lagi jika video sudah ditekan ""TIDAK TERTARIK"", maka jangan munculkan lagi di fyp!!! Poin pentingnya adalah: 1. Perbaiki Algoritma 2. Tambahkan fitur ""TERTARIK"" 3. Jika video di like, perbanyak video fyp yang muncul seperti yang dilike. Mohon DIPERBAIKI, Terima Kasih",1,tolong algoritma tiktoknya dibenerin menyukai suka ngga muncul beranda video ngga berguna suka tolong tambahkan fitur tertarik samping tertarik video ditekan tertarik munculkan fyp poin perbaiki algoritma tambahkan fitur tertarik video menyukai perbanyak video fyp muncul dilike mohon diperbaiki terima kasih,0
6,"tidak tau penyebabnya apa tetapi setiap buka Tiktok selalu loading & kadang tidak terbuka, minta bantuan di cs tidak berhasil , dicoba 2 hp android & IP tetap sama masalahnya, menujukan bahwa aplikasi buruk, versi android & ios terbaru, & aplikasi juga sudah di update yang terbaru, bad performance",1,penyebabnya buka tiktok loading kadang terbuka bantuan berhasil dicoba hp android ip menujukan aplikasi buruk versi android io terbaru aplikasi update terbaru bad performance,0
7,"kadang tiba"" ada tulisan ""anda mengetik terlalu cepat "" dan itu jadi gak bisa like video kadang bikin kesel udah cari solusi tetep aja gak bisa. awal download gak ada tulisan kaya gini tapi lama"" ada kadang siang kadang sore kadang malam bikin bosen karna gak bisa like video yang kita suka dan sekarang hdah 1 bulan lebih gak bisa follow orang",2,kadang tulisan mengetik cepat menyukai video kadang bikin kesel cari solusi tetep download tulisan kaya gini kadang siang kadang sore kadang malam bikin bosen karna menyukai video suka hdah follow orang,0
8,Edit dan unggahannya serta hadiahnya dipermudah. Terimakasih untuk aplikasinya. Dan ruangnya diperkecil dan jangan selalu di-update karena memori hapeku sering penuh. Terimakasih untuk aplikasinya semoga tambah bagus tanpa mengurangi yang telah ada.,5,edit unggahannya hadiahnya dipermudah terimakasih aplikasinya ruangnya diperkecil diupdate memori hapeku penuh terimakasih aplikasinya semoga bagus mengurangi,2
9,"Selama ini saya aman aman aja aplikasinya bagus bagus aja, tapi kenapa setelah update malah sering tekeluar? Bahkan kadang cuman sampai di logo aja setelah itu tiba-tiba langsung keluar aplikasi lagi.. ada apa dengan tiktok... Mohon bantuannya buat admin tolong cepat diperbaiki yah..",4,aman aman aplikasinya bagus bagus update tekeluar kadang cuman logo tibatiba langsung aplikasi tiktok mohon bantuannya admin tolong cepat diperbaiki yah,2
10,"apk nya bagus banget. tapi sayangnya sekarang kalau di buat foto atau video tidak bisa disimpan, bisa disimpan tapi harus ada tanda airnya. padahal dulu ga seperti ini. tolong perbaiki saya sudah sangat menyukai efek foto/video di tiktok.",3,aplikasi nya bagus banget sayangnya foto video disimpan disimpan tanda airnya tolong perbaiki menyukai efek fotovideo tiktok,1
11,"Kesal & jengkel dengan Aplikasi tiktok yg masih bug,, setiap hari harus unisntall ulang. Saya buka tiktoknya hanya logo saja. Tolong min diperhatikan lagi untuk bug tersebut....🙏 Setiap mau masuk ke Aplikasi tiktok,, selalu saja stack di logo... Tolong ya min diperbaiki BUG nya......!!!! Untuk Ratting yg saya kasih hanya 1 Bintang.....",1,kesal jengkel aplikasi tiktok yg bug unisntall ulang buka tiktoknya logo tolong min diperhatikan bug masuk aplikasi tiktok stack logo tolong ya min diperbaiki bug nya ratting yg kasih bintang,0
12,"tiktok selama ini apk favorit aku selain terhibur dengan semu isi konten nya, juga menyenangkan untuk berbelanja. ya meskipun tetap berharap ada lebih banyak diskon voucher maupun gratis ongkir nya lebih dari ini bagi kami diluar pulau jawa.. Tapi kok akhir-akhir ini berat banget ya lelet ngebug parah, padahal udah upgrade 5 hri lalu sekarang minta upgrade lagi, mana makin besar. di apk lain aman, kapasitas HP aman sinyal pun aman, semoga cepat membaik demi kenyamanan semua",3,tiktok aplikasi favorit terhibur semu isi konten nya menyenangkan berbelanja ya berharap diskon voucher gratis ongkir nya diluar pulau jawa akhirakhir berat banget ya lelet ngebug parah upgrade hri upgrade aplikasi aman kapasitas hp aman sinyal aman semoga cepat membaik kenyamanan,1
13,"Tik tok mohon benerin lagi seperti dulu, sekarang kalo saya buka sound di tik tok itu pasti muncul nya yg kurang fyp, biasa nya jika saya buka sound itu isi nya video yg ramai like nya, sekarang yg kurang like nya dan kurang menarik tolong di perbaiki lagi",2,tik tok mohon benerin buka sound tik tok muncul nya yg fyp nya buka sound isi nya video yg ramai menyukai nya yg menyukai nya menarik tolong perbaiki,0
14,"Mohon kepada developer tiktok, agar di perbaiki event ""undang pengguna baru"", soalnya terkadang misi dari titoknya tidak bisa selesai walau sudah di lakukan dengan benar atau stuck , jadi oleh karena itu mohon untuk melakukan update atau perbaikan pada event tiktok nya🙏",4,mohon developer tiktok perbaiki event undang pengguna terkadang misi titoknya selesai lakukan stuck mohon update perbaikan event tiktok nya,2
15,"mohon diperbaiki bugnya, saya sering kali mengalami masalah ketika meng u-pload video tiba tiba keluar dengan sendirinya, saya coba memposting video di tiktok dan gagal lalu force close, tolong perbaiki.",1,mohon diperbaiki bugnya kali mengalami meng upload video coba memposting video tiktok gagal force close tolong perbaiki,0
16,"Aplikasi nya keren lah buat nonton tiktok yang segala macem, tapi pas mau bikin daftar putar kok gaada ya?, tadi lagi liat tutornya katanya ke alat kreator pas saya coba gaada tulisan alat kreator, terus katanya lagi ke tiktok studio kalo ada tapi saya cari gaada, tolong di perbaiki lagi ya, dan sekalian tambah sampul profil yaaa, thank you tiktok!",5,aplikasi nya keren nonton tiktok macem pa bikin daftar putar gaada ya liat tutornya alat kreator pa coba gaada tulisan alat kreator tiktok studio cari gaada tolong perbaiki ya sampul profil ya thank you tiktok,2
