Unnamed: 0,content,score,clean_content,sentiment
0,"Tolong buat admin YouTube iklannya ditambahkan lagi menjadi 4 iklan dalam 1 video dan durasinya menjadi 30 detik, Sudah seperti story anying. menghabiskan kuota dengan sangat cepat lagi, setiap memutar satu video ada saja iklannya. Tolong buat sistem YouTube iklannya untuk dikurangi lagi dan kurangkan pemakaian data kuota. Itu saja terima kasih.",1,tolong admin youtube iklannya iklan video durasinya detik story anying menghabiskan kuota cepat memutar video iklannya tolong sistem youtube iklannya dikurangi kurangkan pemakaian data kuota terima kasih,0
1,"Semakin update malah makin rusak, saat layar posisi landscape dan mengubah ke posisi berdiri malah berhenti videonya. Saat di play malah ngebug gak bisa di play, harus di login ulang dulu baru bisa. Ini sangat menggangu, apa lagi kalau lagi serius² nya lalu gak sengaja layarnya ke geser. Langsung ngebug. Tolong min di fix/di perbaiki",1,update rusak layar posisi landscape mengubah posisi berdiri berhenti videonya play ngebug play login ulang menggangu serius nya sengaja layarnya geser langsung ngebug tolong min fixdi perbaiki,0
2,"YouTube jadi sering error, semenjak update terbaru. Contoh & Bukti Error : Video yg tiba-tiba berhenti, Jendela Pop-out yg kadang tidak muncul (Terutama untuk video durasi lebih dari 10 menit), Tombol replay yang kadang Error saat mem-pause video di tengah durasi pemutaran & Kadang Resolusi tidak berubah walaupun sudah di tingkatkan ! Mohon di perbaiki !.",1,youtube error semenjak update terbaru contoh bukti error video yg tibatiba berhenti jendela popout yg kadang muncul video durasi menit tombol putar ulang kadang error mempause video durasi pemutaran kadang resolusi berubah tingkatkan mohon perbaiki,0
3,"Barusan update lagi, langsung tes. Masih mirip sebelumnya, Ini bug terburuk setelah update. dalam posisi landscape (saat kita swab untuk lihat notif ataupun swab melihat menu pengaturan hp) video akan memulai sendiri dari awal. Saat kita tarik kursor play ke posisi yg kita mau dia akan stuck . (Device poco f4 snapdragon 870 5G)",1,barusan update langsung te bug terburuk update posisi landscape swab lihat notif swab menu pengaturan hp video tarik kursor play posisi yg stuck device poco snapdragon,0
4,"sumpah update-an YouTube sekarang JELEK PARAH, kalau keluar dari video pasti ngambang ga dibawah lagi.. bukannya bagus tapi malah nambah jelek dari ribet. bahkan kalau di skip sekian detik pasti langsung ngebug alias ke pause ga bisa ditonton, jadi kitanya harus keluar dulu baru pencet videonya lagi",1,sumpah updatean youtube jelek parah video ngambang dibawah bagus nambah jelek ribet skip sekian detik langsung ngebug alias pause ditonton kitanya pencet videonya,0
5,"Bug ngeselin pas nonton video dari landscape ke portrait malah berhenti. Pas keluar mau liat video lain, layar mengambang nya nggak ada. Terus keluar sendiri dari aplikasi, padahal kemarin tidak begitu. Saya sangat kecewa dengan update terbaru ini",1,bug ngeselin pa nonton video landscape portrait berhenti pa liat video layar mengambang nya aplikasi kemarin kecewa update terbaru,0
6,Banyak bug.. Video yg lagi di putar terkadang tidak bisa di putar lagi ketika di jeda. Harus di refresh dulu. Dan saat diperkecil juga terkadang video nya menghilang tidak bisa seperti dlu yang bisa mutar dan sambil searching,1,bug video yg putar terkadang putar jeda refresh diperkecil terkadang video nya menghilang dlu mutar searching,0
7,"Update baru yang sangat mengecewakan, ketika hp posisi landscape terus di ubah ke posisi potret video otomatis berhenti dan sering mengalami bug video yang ditonton tidak bisa di play lagi harus di refresh baru bisa di play,dan ketika mau memilih video yang lain layar mengapung nya hilang. Plis lah kalo mau update kayak gitu minimal di setingan disediain jadi bisa di setting sesuai minat",1,update mengecewakan hp posisi landscape ubah posisi potret video otomatis berhenti mengalami bug video ditonton play refresh playdan memilih video layar mengapung nya hilang plis update kayak minimal setingan disediain setting sesuai minat,0
8,"Saya mengalami beberapa masalah saat menggunakan aplikasi YouTube. Terkadang, layar menjadi hitam saat memutar video. Selain itu, muncul layar hijau dengan video yang muncul di sudut. Ketika saya menggulir video pendek (short), sering kali video yang diputar adalah video berikutnya, meskipun judulnya tetap sama, jadi yang ditampilkan bukan video yang seharusnya.",1,mengalami aplikasi youtube terkadang layar hitam memutar video muncul layar hijau video muncul sudut menggulir video pendek short kali video diputar video judulnya ditampilkan video,0
9,"Masalah di youtube smartphone. Tombol play rusak setelah tekan pause, tombol play juga rusak klo kita loncat ke pertengahan durasi, judul gk bisa dibaca lengkap saat nonton maupun pencet deskripsi(dulu bisa baca judul lengkap saat tekan deskripsi). Saat minimize video malah ngilang ke samping layar sehingga suara ada tp gk bisa untuk menekan balik.",2,youtube smartphone tombol play rusak tekan pause tombol play rusak loncat pertengahan durasi judul gk dibaca lengkap nonton pencet deskripsidulu baca judul lengkap tekan deskripsi minimize video ngilang samping layar suara gk menekan,0
10,"Untuk pengembang YouTube, tolong buatkan fitur untuk menonaktifkan shorts karena sejak adanya shorts saya selalu terdistraksi saat ingin melihat video biasa, yang membuat saya tak sadar berapa video shorts yang saya scroll. Dan juga algoritma YouTube sekarang membuat video yang direkomendasikan di beranda sangat monoton dan terasa familiar satu sama lain yang membuat saya semakin jenuh.",1,pengembang youtube tolong buatkan fitur menonaktifkan video pendek video pendek terdistraksi video sadar video video pendek scroll algoritma youtube video direkomendasikan beranda monoton familiar jenuh,0
11,"Apa yang membuat iklan satu? Ya iklan porno, udah dibikin tidak tertarik dan blokir malah ngelunjak kasih iklan ga senonoh yang lebih parah lagi, coba buat kalian developer adain fitur pengguna bisa filter iklan yang ditampilkan, ga masalah mau 1 iklan tiap 2 reels atau apapun itu, asalkan ga ada iklan kotor.. kalau masih muncul lagi gua spam bintang 1 pake akun fake lainnya!!!",1,iklan ya iklan porno dibikin tertarik blokir ngelunjak kasih iklan senonoh parah coba developer adain fitur pengguna filter iklan ditampilkan iklan reel apapun iklan kotor muncul gua spam bintang pake akun fake,0
12,"Semakin di update semakin buruk lebih banyak bug seperti pemutaran video dari full screen ke minimaze selalu kembali ke menit awal di semua video dan bila ingin melewati menit tertentu sering berganti ke video lain jika ingin mundur ke menit tertentu masuk ke profil channel pemilik video, itu sangat menggangu menurut saya, lalu untuk komentar di streaming sering tidak muncul, komentar di streaming tidak berjalan walaupun banyak yang berkomentar, dan iklan yang tidak bisa lewati durasi yg panjang",1,update buruk bug pemutaran video full screen minimaze menit video melewati menit berganti video mundur menit masuk profil saluran pemilik video menggangu komentar menyiarkan muncul komentar menyiarkan berjalan berkomentar iklan lewati durasi yg,0
13,"bintang 1 ya,, buka youtube di google lancar, sekalinya buka di aplikasi malah banyak bug, entah itu video gak bisa mulai, layar kecil yang tiba"" ilang tapi suara tetap ada. Niatnya ke playstore tadi mau update youtube eh ternyata sudah versi terbaru. berarti emang aplikasinya yang cacat🙏🙏",1,bintang ya buka youtube google lancar sekalinya buka aplikasi bug video layar ilang suara niatnya playstore update youtube eh versi terbaru emang aplikasinya cacat,0
14,"Tidak bisa menampilkan video sambil mencari, hanya ada suara.. Ketika layar keluar dan ingin kembali, tidak bisa melanjutkan jeda sehingga video harus di ulang dari awal. Sangat tidak efektif, terkadang video bisa di putar stelah jeda tetapi harus full screen",1,menampilkan video mencari suara layar melanjutkan jeda video ulang efektif terkadang video putar stelah jeda full screen,0
15,"Sumpah ini aplikasi nya ngeselin banget dah, gw nonton video saat posisi lanskap pas mau keluar dari posisi potret, video nya jadi berhenti gitu, terus kalo keluar dari video nya, layar kecilnya ngambang dan langsung hilang, cara ganti video lain tinggal keluar aja dari aplikasi dan masuk lagi, dan itu update paling kecewa menurut saya, malahan dari dulu aja kagak pernah nemu bug kek gitu, aplikasi rusak!!!",1,sumpah aplikasi nya ngeselin banget dah nonton video posisi lanskap pa posisi potret video nya berhenti video nya layar kecilnya ngambang langsung hilang ganti video tinggal aplikasi masuk update kecewa kagak nemu bug kek aplikasi rusak,0
16,"Eh ini kenapa makin kesini update nya main ngaco sih?, banyak banget bug nya. 1. Masalah skip, saya ketika mau nge skip tarik, itu ga bisa di play, apalagi kalau ada yang nanyain di komen, pas mencet malah gak bisa di play. 2. Masalah pop up di YouTube, kalau gua mau ngecilin size/ pop up video nya buat nyari video baru, kadang pop up nya malah ke luar layar hp. 3. Masalah scroll video, saya kalau mau nyari video tanpa pop up, biasa nya saya tarik keatas, tapi knp update skarang lngsung keplay??",1,eh kesini update nya main ngaco sih banget bug nya skip nge skip tarik play nanyain komen pa mencet play pop up youtube gua ngecilin size pop up video nya mencari video kadang pop up nya layar hp scroll video mencari video pop up nya tarik keatas update skarang lngsung keplay,0
17,"Akhir"" Ini youtube banyak bug nya... Salah satunya... Semisal kita nonton dari mode layar full ke layar setengah .. Vidio bakal auto stop dan gak bisa di play... Tolong lah di perbaiki secepatnya.. Terimakasih!!!!!!!!!!!!!",2,youtube bug nya salah satunya nonton mode layar full layar vidio auto stop play tolong perbaiki secepatnya terimakasih,0
18,"YouTube kenapa ya? update an terbaru malah jadi ngebug, waktu video sekali di pause langsung gabisa di play lagi, pas mau ganti video lain suara dari video sebelumnya terus keputer, mau ganti dari full screen ke mini screen tiba tiba keulang dari awal.. jadi ga nyaman karna harus bolak balik keluar masuk apk klo ngebug gtu",1,youtube ya update an terbaru ngebug video pause langsung gabisa play pa ganti video suara video keputer ganti full screen mini screen keulang nyaman karna bolak masuk aplikasi ngebug gtu,0
19,"Kalo video yang sudah pernah di tonton jangan di rekomendasikan lagi lah, cukup video yang terbaru aja yang di munculkan/di rekomendasikan nya, dan kenapa di pemutaran feed terkadang suka lama video nya terputar nya. padahal jaringan bagus tolong di perbaiki",1,kalo video tonton rekomendasikan video terbaru munculkandi rekomendasikan nya pemutaran feed terkadang suka video nya terputar nya jaringan bagus tolong perbaiki,0
20,"Makin banyak iklan, sering sendat² videonya, dan videonya bertumpang tindih kadang ada jejak video lain di bepan/dibelakang layar yg sedang ditonton, dan kadang suka ngeroll sendiri kita roll kebawah, dia balik ngeroll ke atas, kenapa makin kesini makin rusak,padahal sering pembaruan??? Tolong perbaikannya yang optimal jangan setengah² dan video dari video menutupi video yang saat ini diputar, mohon utk diperbaiki, tambahan, tampilan depan suka hilang seperti beranda profil dll bnyak kekurangany",3,iklan sendat videonya videonya bertumpang tindih kadang jejak video bepandibelakang layar yg ditonton kadang suka ngeroll roll kebawah ngeroll kesini rusakpadahal pembaruan tolong perbaikannya optimal video video menutupi video diputar mohon utk diperbaiki tambahan tampilan suka hilang beranda profil dll bnyak kekurangany,0
21,"Youtube setelah update terbaru performance nya jelek dan mengecewakan... Ngebug klo video nya ke pause ngga bisa di nyalain lagi, trs klo mau ngelihat ke video2 yg lain sambil nyalain video yg lain, skrg mah ngga bisa, video yg lagi dilihat langsung keluar bahkan menghilang ngga bisa di buka lagi... Mohon di perbaiki,.",1,youtube update terbaru performance nya jelek mengecewakan ngebug video nya pause ngga nyalain ngelihat video yg nyalain video yg mah ngga video yg langsung menghilang ngga buka mohon perbaiki,0
